SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,12340,12340,12270,12293.93,12290,12371.76,191,2350170.35,27-Oct-2025,63,IN0020200104
SGBN28VIII,GB,12351,12755.61,12300,12386.59,12400,12505.5,427,5318335.41,27-Oct-2025,121,IN0020200286
SGBMAY29I,GB,12403.23,12403.23,12261,12324.33,12310,12403.23,1397,17215842.39,27-Oct-2025,208,IN0020210053
SGBJUN29II,GB,12370.01,12400,12206.01,12346.17,12350,12409.5,375,4628027.82,27-Oct-2025,93,IN0020210061
SGBJU29III,GB,12598.99,12598.99,12305.56,12310.01,12311,12405.11,323,3987705.34,27-Oct-2025,66,IN0020210087
SGBSEP29VI,GB,12400,12427,12305.02,12366.06,12414.8,12419.81,493,6098818.89,27-Oct-2025,118,IN0020210145
SGBNV29VII,GB,12420.94,12437,12311,12370.97,12355.01,12420.94,526,6512171.63,27-Oct-2025,131,IN0020210178
SGBOCT25V,GB,12262,12340,12262,12262,12262,12201,3,36864.00,27-Oct-2025,3,IN0020170075
SGBNOV25VI,GB,12400,12449.99,12251,12274.3,12278.6,12222.17,18,221707.62,27-Oct-2025,10,IN0020170083
SGBNOV25,GB,12301,12301.15,12239.5,12239.5,12239.5,12400,6,73744.65,27-Oct-2025,5,IN0020170091
SGBDEC25,GB,12965.51,12965.51,12960,12960,12960,12901,2,25925.51,27-Oct-2025,2,IN0020170125
SGBNOV25IX,GB,12400,12400,12400,12400,12400,12331,4,49600.00,27-Oct-2025,3,IN0020170117
SGBDEC2512,GB,12900,12900,12500.01,12835.5,12835.5,13400,4,51071.00,27-Oct-2025,4,IN0020170141
SGBNOV258,GB,12250.21,12500,12250.2,12340,12340,12200,14,172368.18,27-Oct-2025,10,IN0020170109
SGBDEC2513,GB,13000,13000,12500.01,12500.01,12500.01,12599.69,3,38000.02,27-Oct-2025,2,IN0020170158
SGBMAY26,GB,12380.36,12396.01,12380,12380,12380,12323.61,9,111469.68,27-Oct-2025,6,IN0020180033
SGBOCT26,GB,12600,12600.01,12350.01,12357.55,12360.9,12499,50,619324.82,27-Oct-2025,18,IN0020180249
SGBNOV26,GB,13586.96,13586.96,12661.42,12697.68,12661.42,12352.61,39,507583.31,27-Oct-2025,17,IN0020180314
SGBDEC26,GB,12380.01,12380.01,12372,12372,12372,12370.01,15,185639.08,27-Oct-2025,9,IN0020180389
SGBJAN26,GB,12951,12951,12505.01,12951,12951,12938.5,38,491245.00,27-Oct-2025,10,IN0020170166
SGBJUL27,GB,12250,12399.98,12250,12399.98,12399.98,12319.95,12,148499.80,27-Oct-2025,2,IN0020190081
SGBAUG27,GB,12494,12548.5,12450,12527.13,12548.5,12515.5,90,1125799.06,27-Oct-2025,53,IN0020190107
SGBSEP27,GB,12339.99,12340,12330.01,12340,12340,12340,53,653929.76,27-Oct-2025,11,IN0020190115
SGBJAN27,GB,12445,12445,12330,12349,12349,12449.99,13,160719.04,27-Oct-2025,9,IN0020180462
SGBOCT27,GB,12350.01,12350.01,12200,12259.26,12259.17,12350,222,2724974.01,27-Oct-2025,59,IN0020190370
SGBFEB27,GB,12920.12,12920.12,12919.99,12920.12,12920.12,12605,10,129200.17,27-Oct-2025,4,IN0020180561
SGBOCT27VI,GB,12399.95,12399.96,12290,12290.39,12290,12400,29,357927.51,27-Oct-2025,10,IN0020190388
SGBDC27VII,GB,12762.1,12762.1,12425.01,12457,12457,12450.83,21,263906.53,27-Oct-2025,13,IN0020190461
